Item Type,Sales,Fat Content,Outlet Size,Outlet Location,Rating,Establishment Year
Snacks,250000,Regular,Medium,Tier 1,4.6,2021
Beverages,180000,Low Fat,Small,Tier 2,4.2,2021
Groceries,320000,Regular,Large,Tier 1,4.8,2022
Fresh Fruits,195000,Low Fat,Medium,Tier 1,4.9,2022
Vegetables,170000,Low Fat,Small,Tier 3,4.5,2023
Dairy,210000,Regular,Large,Tier 2,4.7,2021
Meat,150000,Regular,Medium,Tier 1,4.4,2022
Bakery,125000,Regular,Small,Tier 2,4.3,2023
Personal Care,230000,Low Fat,Large,Tier 1,4.8,2021
Household,260000,Regular,Medium,Tier 3,4.6,2022
