Item Type,Sales,Fat Content,Outlet Size,Outlet Location,Rating,Establishment Year
North Indian,120000,Regular,Medium,Tier 1,4.5,2010
Biryani,150000,Regular,Large,Tier 2,4.8,2012
Chinese,90000,Regular,Medium,Tier 1,4.1,2015
Healthy Food,180000,Low Fat,Small,Tier 1,4.9,2018
Fast Food,220000,Regular,Medium,Tier 3,3.9,2011
Desserts,85000,Regular,Small,Tier 1,4.6,2016
South Indian,110000,Low Fat,Medium,Tier 2,4.4,2013
Street Food,135000,Regular,Small,Tier 3,4.2,2014
Continental,95000,Regular,Large,Tier 1,4.3,2019
Beverages,140000,Low Fat,Small,Tier 2,4.0,2017
